battleTime,event_id,event_mode,event_map,battle_mode,battle_type,battle_rank,battle_trophyChange,battle_result,battle_duration,battle_starPlayer_tag,battle_starPlayer_name,battle_starPlayer_brawler_id,battle_starPlayer_brawler_name,battle_starPlayer_brawler_power,battle_starPlayer_brawler_trophies,player_tag,brawler_id_used
20250411T151308.000Z,15000581,knockout,Healthy Middle Ground,knockout,ranked,,8.0,victory,83.0,#2RVCVVRG0C,しよ〜ん,16000003.0,BROCK,4.0,152.0,#GYVL22U2V,16000092.0
20250411T151102.000Z,15000581,knockout,Healthy Middle Ground,knockout,ranked,,-1.0,defeat,48.0,#2RU80YVQJY,12345,16000043.0,EDGAR,11.0,159.0,#GYVL22U2V,16000092.0
20250411T150939.000Z,15000581,knockout,Healthy Middle Ground,knockout,ranked,,10.0,victory,45.0,#2RVLLP220L,我是你阿公的兒子,16000027.0,8-BIT,7.0,127.0,#GYVL22U2V,16000092.0
20250411T131547.000Z,15000581,knockout,Healthy Middle Ground,knockout,ranked,,,defeat,138.0,#2RCGLRPLYR,乖乖,16000084.0,MOE,7.0,99.0,#GYVL22U2V,16000024.0
20250411T131121.000Z,15000581,knockout,Healthy Middle Ground,knockout,ranked,,9.0,victory,56.0,#2J9LYPG9LL,はてなブロック,16000043.0,EDGAR,8.0,169.0,#GYVL22U2V,16000092.0
20250411T130936.000Z,15000581,knockout,Healthy Middle Ground,knockout,ranked,,8.0,victory,33.0,#2RJC8CGLRL,BULKING,16000043.0,EDGAR,8.0,181.0,#GYVL22U2V,16000092.0
20250411T130504.000Z,15000581,knockout,Healthy Middle Ground,knockout,ranked,,-1.0,defeat,77.0,#YPGGLU8GJ,임저어나우,16000029.0,BEA,10.0,128.0,#GYVL22U2V,16000092.0
20250411T130302.000Z,15000581,knockout,Healthy Middle Ground,knockout,ranked,,9.0,victory,141.0,#2RJY2CV29Q,REN,16000010.0,EL PRIMO,5.0,115.0,#GYVL22U2V,16000092.0
20250411T125914.000Z,15000581,knockout,Healthy Middle Ground,knockout,ranked,,8.0,victory,35.0,#2R8PC0J2G0,killerboy,16000027.0,8-BIT,4.0,171.0,#GYVL22U2V,16000092.0
20250411T064755.000Z,15000581,knockout,Healthy Middle Ground,knockout,ranked,,-1.0,defeat,105.0,#2QUVPVVYL0,サバンナ,16000014.0,BO,8.0,195.0,#GYVL22U2V,16000092.0
20250411T055231.000Z,15000581,knockout,Healthy Middle Ground,knockout,ranked,,9.0,victory,130.0,#2RUY90YRV2,CK,16000013.0,POCO,4.0,130.0,#GYVL22U2V,16000092.0
