battleTime,event_id,event_mode,event_map,battle_mode,battle_type,battle_rank,battle_trophyChange,battle_result,battle_duration,battle_starPlayer_tag,battle_starPlayer_name,battle_starPlayer_brawler_id,battle_starPlayer_brawler_name,battle_starPlayer_brawler_power,battle_starPlayer_brawler_trophies,player_tag,brawler_id_used
20250410T054811.000Z,15000636,gemGrab,Last Stop,gemGrab,ranked,,-3.0,defeat,121.0,#VRUJ08C2,Tanzil,16000007.0,JESSIE,11.0,541.0,#GV0VYGP0,16000068.0
20250410T054538.000Z,15000990,soloShowdown,Lilypond Grove,soloShowdown,ranked,,10.0,,,,,,,,,#GV0VYGP0,16000068.0
20250409T102833.000Z,15000007,gemGrab,Hard Rock Mine,gemGrab,ranked,,-3.0,defeat,100.0,#90PURG8UJ,o-編號527-o,16000010.0,EL PRIMO,7.0,512.0,#GV0VYGP0,16000008.0
20250327T032323.000Z,0,,,bounty,friendly,,,victory,68.0,#Q08LRJC9Q,구겨진 안내장,16000029.0,BEA,-1.0,-1.0,#9U2JV20RP,16000085.0
20250327T032122.000Z,0,,,bounty,friendly,,,defeat,101.0,#Q08LRJC9Q,구겨진 안내장,16000029.0,BEA,-1.0,-1.0,#9U2JV20RP,16000038.0
20250327T031900.000Z,0,,,bounty,friendly,,,defeat,78.0,#Y2G02JLUJ,000000000000003,16000060.0,SAM,-1.0,-1.0,#9U2JV20RP,16000015.0
20250325T032943.000Z,15000989,trioShowdown,Core of Orbit,duoShowdown,ranked,,-3.0,,,,,,,,,#9U2JV20RP,16000072.0
20250325T032714.000Z,15000989,trioShowdown,Core of Orbit,duoShowdown,ranked,,13.0,,,,,,,,,#9U2JV20RP,16000072.0
20250325T032420.000Z,15000989,trioShowdown,Core of Orbit,duoShowdown,ranked,,10.0,,,,,,,,,#9U2JV20RP,16000072.0
20250325T032135.000Z,15000989,trioShowdown,Core of Orbit,duoShowdown,ranked,,9.0,,,,,,,,,#9U2JV20RP,16000072.0
20250325T031925.000Z,15000989,trioShowdown,Core of Orbit,duoShowdown,ranked,,9.0,,,,,,,,,#9U2JV20RP,16000045.0
20250325T031717.000Z,15000989,trioShowdown,Core of Orbit,duoShowdown,ranked,,-9.0,,,,,,,,,#9U2JV20RP,16000045.0
20250325T031335.000Z,15000989,trioShowdown,Core of Orbit,duoShowdown,ranked,,10.0,,,,,,,,,#9U2JV20RP,16000072.0
20250325T031032.000Z,15000989,trioShowdown,Core of Orbit,duoShowdown,ranked,,9.0,,,,,,,,,#9U2JV20RP,16000049.0
20250325T030737.000Z,15000989,trioShowdown,Core of Orbit,duoShowdown,ranked,,3.0,,,,,,,,,#9U2JV20RP,16000072.0
20250325T030447.000Z,15000989,trioShowdown,Core of Orbit,duoShowdown,ranked,,9.0,,,,,,,,,#9U2JV20RP,16000072.0
20250325T030316.000Z,15000989,trioShowdown,Core of Orbit,duoShowdown,ranked,,-6.0,,,,,,,,,#9U2JV20RP,16000003.0
20250325T030025.000Z,15000989,trioShowdown,Core of Orbit,duoShowdown,ranked,,10.0,,,,,,,,,#9U2JV20RP,16000003.0
20250325T025730.000Z,15000989,trioShowdown,Core of Orbit,duoShowdown,ranked,,7.0,,,,,,,,,#9U2JV20RP,16000003.0
20250324T031232.000Z,0,,,bounty,friendly,,,defeat,106.0,#2UQV290UY,데헿,16000027.0,8-BIT,-1.0,-1.0,#9U2JV20RP,16000015.0
20250324T030855.000Z,15000143,brawlBall,Beach Ball,brawlBall,ranked,,8.0,victory,209.0,#9U2JV20RP,사냥의시작이야,16000015.0,PIPER,11.0,911.0,#9U2JV20RP,16000015.0
20250301T033548.000Z,15000854,unknown,Cool Box,brawlBall,soloRanked,,,defeat,149.0,#802GQUPU9,batman,16000029.0,BEA,10.0,3.0,#9U2JV20RP,16000000.0
20250301T033236.000Z,15000368,knockout,Belle's Rock,knockout,soloRanked,,,victory,73.0,#9U2JV20RP,사냥의시작이야,16000015.0,PIPER,11.0,3.0,#9U2JV20RP,16000015.0
20250301T031858.000Z,15000007,gemGrab,Hard Rock Mine,gemGrab,soloRanked,,,victory,97.0,#Y2YGYRRCU,이브,16000076.0,KIT,10.0,2.0,#9U2JV20RP,16000045.0
20250301T031603.000Z,15000853,unknown,Below Zero,brawlBall,soloRanked,,,defeat,66.0,#2G08GGGYQU,きょ,16000028.0,SANDY,11.0,2.0,#9U2JV20RP,16000000.0
20250301T031000.000Z,15000115,gemGrab,Double Swoosh,gemGrab,soloRanked,,,victory,93.0,#J0GJ9V9QV,李丞皓,16000023.0,LEON,11.0,2.0,#9U2JV20RP,16000045.0
20250301T030736.000Z,15000440,knockout,Flaring Phoenix,knockout,soloRanked,,,defeat,114.0,#2PGGVLJPG,健悟,16000049.0,BUZZ,10.0,2.0,#9U2JV20RP,16000015.0
20250301T025126.000Z,15000854,unknown,Cool Box,brawlBall,soloRanked,,,victory,67.0,#2QLY8RPRVU,しょーち,16000020.0,FRANK,11.0,1.0,#9U2JV20RP,16000000.0
20220709T133918.000Z,15000324,bigGame,Lit Match,bigGame,,,,,,,,,,,,#9VY09LP0,16000052.0
20220709T133624.000Z,15000500,brawlBall,Off the Line,brawlBall,soloRanked,,3.0,defeat,22.0,#9QPV0GLL,banisef,16000051.0,ASH,11.0,15.0,#9VY09LP0,16000012.0
20220709T133548.000Z,15000500,brawlBall,Off the Line,brawlBall,soloRanked,,,defeat,105.0,,,,,,,#9VY09LP0,16000012.0
20220709T132939.000Z,15000019,heist,Safe Zone,heist,soloRanked,,3.0,defeat,73.0,#GJQ22C9Q,BSRK | Volekk,16000005.0,SPIKE,11.0,15.0,#9VY09LP0,16000007.0
20220709T132811.000Z,15000019,heist,Safe Zone,heist,soloRanked,,,defeat,81.0,,,,,,,#9VY09LP0,16000007.0
20220704T092003.000Z,15000367,knockout,Goldarm Gulch,knockout,ranked,,2.0,defeat,53.0,#PVQLYRJ80,IFAN,16000007.0,JESSIE,7.0,15.0,#9VY09LP0,16000042.0
20220704T091846.000Z,15000367,knockout,Goldarm Gulch,knockout,ranked,,2.0,defeat,179.0,#Q2G9RQPPG,money money$$$,16000021.0,GENE,9.0,15.0,#9VY09LP0,16000042.0
20220704T091445.000Z,15000367,knockout,Goldarm Gulch,knockout,ranked,,2.0,defeat,53.0,#PLJ98LYC8,UA| PhoniXX,16000049.0,BUZZ,8.0,15.0,#9VY09LP0,16000042.0
20220704T091318.000Z,15000367,knockout,Goldarm Gulch,knockout,ranked,,2.0,defeat,50.0,#P28RCJGP8,mirezu 02,16000004.0,RICO,7.0,15.0,#9VY09LP0,16000020.0
20220704T091019.000Z,15000300,hotZone,Ring of Fire,hotZone,soloRanked,,9.0,victory,84.0,#88L29CGR2,꧁lol꧂ᴅᴇɪᴅᴀʀᴀツ,16000040.0,AMBER,10.0,15.0,#9VY09LP0,16000030.0
20220704T090837.000Z,15000300,hotZone,Ring of Fire,hotZone,soloRanked,,,victory,79.0,,,,,,,#9VY09LP0,16000030.0
20220704T090704.000Z,15000300,hotZone,Ring of Fire,hotZone,soloRanked,,,defeat,78.0,,,,,,,#9VY09LP0,16000030.0
20220703T061346.000Z,0,,,gemGrab,ranked,,,defeat,131.0,#8RPLJCUJR,огурец,16000053.0,LOLA,6.0,397.0,#9VY09LP0,16000020.0
20220703T061049.000Z,15000067,bossFight,Metal Scrap,bossFight,,,,victory,,,,,,,,#9VY09LP0,16000027.0
20220703T060429.000Z,15000067,bossFight,Metal Scrap,bossFight,,,,victory,,,,,,,,#9VY09LP0,16000027.0
20220703T060138.000Z,15000067,bossFight,Metal Scrap,bossFight,,,,victory,,,,,,,,#9VY09LP0,16000027.0
20220703T055749.000Z,15000067,bossFight,Metal Scrap,bossFight,,,,victory,,,,,,,,#9VY09LP0,16000027.0
20220702T062315.000Z,0,,,heist,ranked,,,defeat,17.0,#2JCUUUPYC,mbappe 7 psg,16000016.0,PAM,9.0,494.0,#9VY09LP0,16000043.0
20220702T062239.000Z,0,,,heist,ranked,,,defeat,22.0,#PGU2JR9VQ,олаф,16000017.0,TARA,10.0,488.0,#9VY09LP0,16000043.0
20220702T062138.000Z,0,,,heist,ranked,,,victory,61.0,#LC808YYR,bucmir,16000008.0,NITA,9.0,500.0,#9VY09LP0,16000043.0
20220701T171358.000Z,15000367,knockout,Goldarm Gulch,knockout,soloRanked,,3.0,defeat,89.0,#P020LVRP2,Konnie,16000007.0,JESSIE,9.0,15.0,#9VY09LP0,16000045.0
20220701T171214.000Z,15000367,knockout,Goldarm Gulch,knockout,soloRanked,,,defeat,87.0,,,,,,,#9VY09LP0,16000045.0
20220701T170738.000Z,15000050,brawlBall,Sneaky Fields,brawlBall,soloRanked,,7.0,victory,62.0,#2C0VC02V2,Янусик,16000007.0,JESSIE,9.0,15.0,#9VY09LP0,16000026.0
20220701T170621.000Z,15000050,brawlBall,Sneaky Fields,brawlBall,soloRanked,,,victory,63.0,,,,,,,#9VY09LP0,16000026.0
20220701T084206.000Z,15000559,soloShowdown,Zoomed Out,soloShowdown,ranked,,3.0,,,,,,,,,#9VY09LP0,16000052.0
20250326T192121.000Z,15000855,unknown,Starr Garden,brawlBall,soloRanked,,,victory,150.0,#2GGYGR902V,grofishing,16000043.0,EDGAR,10.0,10.0,#VY089R8P,16000026.0
20250326T191733.000Z,15000292,hotZone,Open Business,hotZone,soloRanked,,,victory,65.0,#J89VUG0LV,r2-d2,16000009.0,DYNAMIKE,11.0,10.0,#VY089R8P,16000026.0
20250326T191519.000Z,15000083,bounty,Dry Season,bounty,soloRanked,,,victory,102.0,#2R0G99RPVP,FlourFerly💞,16000021.0,GENE,11.0,10.0,#VY089R8P,16000021.0
20250326T191237.000Z,15000010,gemGrab,Gem Fort,gemGrab,soloRanked,,,defeat,94.0,#2PC8PQPPU,Troll face,16000085.0,KENJI,10.0,10.0,#VY089R8P,16000012.0
20250326T190939.000Z,15000022,bounty,Hideout,bounty,soloRanked,,,victory,97.0,#VY089R8P,melson,16000022.0,TICK,11.0,10.0,#VY089R8P,16000022.0
20250326T190434.000Z,15000300,hotZone,Ring of Fire,hotZone,soloRanked,,,defeat,111.0,#LRCPG9UGR,Jules.D,16000030.0,EMZ,11.0,10.0,#VY089R8P,16000030.0
20250322T021506.000Z,15000292,hotZone,Open Business,hotZone,soloRanked,,,victory,113.0,#VY089R8P,melson,16000030.0,EMZ,11.0,9.0,#VY089R8P,16000030.0
20250322T021235.000Z,15000855,unknown,Starr Garden,brawlBall,soloRanked,,,victory,150.0,#2QYVPCY99V,chentric,16000011.0,MORTIS,11.0,9.0,#VY089R8P,16000030.0
20250322T020923.000Z,15000083,bounty,Dry Season,bounty,soloRanked,,,victory,54.0,#VY089R8P,melson,16000030.0,EMZ,11.0,9.0,#VY089R8P,16000030.0
20250322T020618.000Z,15000854,unknown,Cool Box,brawlBall,soloRanked,,,victory,150.0,#2GUUPJU8VQ,周谨烁,16000030.0,EMZ,11.0,9.0,#VY089R8P,16000007.0
20250321T182851.000Z,15000440,knockout,Flaring Phoenix,knockout,soloRanked,,,victory,181.0,#VY089R8P,melson,16000006.0,BARLEY,10.0,9.0,#VY089R8P,16000006.0
20250321T182502.000Z,15000050,brawlBall,Sneaky Fields,brawlBall,soloRanked,,,victory,45.0,#VY089R8P,melson,16000001.0,COLT,10.0,8.0,#VY089R8P,16000001.0
20250321T174413.000Z,15000850,unknown,Super Center,brawlBall,soloRanked,,,victory,74.0,#VY089R8P,melson,16000030.0,EMZ,11.0,8.0,#VY089R8P,16000030.0
20250320T183416.000Z,15000118,brawlBall,Pinball Dreams,brawlBall,soloRanked,,,victory,114.0,#VY089R8P,melson,16000030.0,EMZ,11.0,8.0,#VY089R8P,16000030.0
20250320T183043.000Z,15000855,unknown,Starr Garden,brawlBall,soloRanked,,,victory,150.0,#VY089R8P,melson,16000030.0,EMZ,11.0,8.0,#VY089R8P,16000030.0
20250320T182739.000Z,15000082,bounty,Layer Cake,bounty,soloRanked,,,victory,78.0,#VY089R8P,melson,16000022.0,TICK,11.0,8.0,#VY089R8P,16000022.0
20250320T182508.000Z,15000007,gemGrab,Hard Rock Mine,gemGrab,soloRanked,,,victory,144.0,#VY089R8P,melson,16000000.0,SHELLY,11.0,7.0,#VY089R8P,16000000.0
20250320T182210.000Z,15000005,bounty,Shooting Star,bounty,soloRanked,,,defeat,81.0,#G8QURYUQR,𝑹𝒂𝒎𝒊ヅ,16000001.0,COLT,10.0,7.0,#VY089R8P,16000026.0
20250314T174451.000Z,15000502,knockout,Flowing Springs,knockout,ranked,,-3.0,defeat,107.0,#2L2YJP2GGJ,tubararao23,16000043.0,EDGAR,11.0,349.0,#VY089R8P,16000003.0
20250314T121604.000Z,15000306,hotZone,Dueling Beetles,hotZone,soloRanked,,,victory,89.0,#VY089R8P,melson,16000030.0,EMZ,11.0,7.0,#VY089R8P,16000030.0
20250314T121348.000Z,15000853,unknown,Below Zero,brawlBall,soloRanked,,,victory,150.0,#2QYUL0090Y,Flemmli2010,16000043.0,EDGAR,11.0,7.0,#VY089R8P,16000030.0
20250314T121013.000Z,15000050,brawlBall,Sneaky Fields,brawlBall,soloRanked,,,victory,75.0,#VY089R8P,melson,16000030.0,EMZ,11.0,7.0,#VY089R8P,16000030.0
20250314T120821.000Z,15000368,knockout,Belle's Rock,knockout,soloRanked,,,victory,55.0,#VY089R8P,melson,16000030.0,EMZ,11.0,7.0,#VY089R8P,16000030.0
20250314T120647.000Z,15000440,knockout,Flaring Phoenix,knockout,soloRanked,,,defeat,48.0,#GGYJJPC8L,Pikachu16,16000076.0,KIT,11.0,7.0,#VY089R8P,16000006.0
20250314T120513.000Z,15000005,bounty,Shooting Star,bounty,soloRanked,,,victory,58.0,#YP0VRRCY8,☣️ZzMelvin☣️,16000022.0,TICK,11.0,7.0,#VY089R8P,16000030.0
20250120T105549.000Z,0,,,bounty,ranked,,,victory,53.0,#28UCVV2UPR,小恐龍,16000040.0,AMBER,11.0,69.0,#Y0R2C02R2,16000022.0
20250120T105419.000Z,0,,,bounty,ranked,,,defeat,64.0,#9J9VQJJC9,공77,16000004.0,RICO,11.0,500.0,#Y0R2C02R2,16000022.0
20250120T105222.000Z,0,,,bounty,ranked,,,defeat,108.0,#P8U8LPV2U,SUMSUN,16000061.0,GUS,11.0,443.0,#Y0R2C02R2,16000022.0
20250120T104947.000Z,0,,,bounty,ranked,,,defeat,69.0,#PG9PQLLRP,전설 님,16000054.0,FANG,11.0,446.0,#Y0R2C02R2,16000022.0
20250120T104723.000Z,0,,,bounty,ranked,,,defeat,77.0,#LGUQ2PR2Y,itzlight71,16000003.0,BROCK,11.0,577.0,#Y0R2C02R2,16000005.0
20250120T104451.000Z,0,,,bounty,ranked,,,defeat,58.0,#28UCVV2UPR,小恐龍,16000040.0,AMBER,11.0,69.0,#Y0R2C02R2,16000005.0
20250120T104245.000Z,0,,,bounty,ranked,,,victory,68.0,#9CLLQCJVU,🪄BlͥocͣkͫJR3,16000042.0,BYRON,11.0,539.0,#Y0R2C02R2,16000005.0
20250110T100957.000Z,15000900,heist,GG 2.0,heist,ranked,,8.0,victory,57.0,#2890RV9J2L,537_^-^,16000007.0,JESSIE,11.0,714.0,#Y0R2C02R2,16000005.0
20250110T100821.000Z,15000900,heist,GG 2.0,heist,ranked,,-3.0,defeat,52.0,#PC2J28LQV,니얼굴개불,16000007.0,JESSIE,11.0,709.0,#Y0R2C02R2,16000005.0
20241225T125055.000Z,15000899,knockout,Overgrown Ruins,knockout,ranked,,-3.0,defeat,70.0,#2Q009RY2Q,偷天幻日,16000088.0,,11.0,196.0,#Y0R2C02R2,16000007.0
20241225T124800.000Z,15000899,knockout,Overgrown Ruins,knockout,ranked,,-2.0,defeat,70.0,#C8JL8RQL8,guun,16000048.0,GROM,10.0,705.0,#Y0R2C02R2,16000009.0
20241225T124459.000Z,15000899,knockout,Overgrown Ruins,knockout,ranked,,-3.0,defeat,108.0,#8RRV2U8U2,파이크,16000005.0,SPIKE,9.0,505.0,#Y0R2C02R2,16000007.0
20241225T124226.000Z,15000899,knockout,Overgrown Ruins,knockout,ranked,,-3.0,defeat,37.0,#GCQG0CR0L,성이,16000081.0,LILY,11.0,575.0,#Y0R2C02R2,16000007.0
20241225T122929.000Z,15000647,wipeout5V5,Frosty tracks,wipeout,ranked,,-3.0,defeat,128.0,#PJLPPG2J,hyunwoo75,16000088.0,,11.0,298.0,#Y0R2C02R2,16000022.0
20241225T122615.000Z,15000647,wipeout5V5,Frosty tracks,wipeout,ranked,,8.0,victory,158.0,#9CLLQCJVU,🪄BlͥocͣkͫJR3,16000019.0,PENNY,9.0,507.0,#Y0R2C02R2,16000022.0
20241221T112925.000Z,15000645,wipeout5V5,Slippery road,wipeout,ranked,,,defeat,180.0,#2LYQ9L8JVJ,あいうえお,16000019.0,PENNY,11.0,549.0,#Y0R2C02R2,16000023.0
20241221T112513.000Z,15000026,brawlBall,Pinhole Punt,brawlBall,ranked,,8.0,victory,150.0,#YRR8R2LUC,FINAL_오리너구리,16000088.0,,11.0,438.0,#Y0R2C02R2,16000023.0
20241221T110919.000Z,15000026,brawlBall,Pinhole Punt,brawlBall,ranked,,-2.0,defeat,60.0,#JLUGV0G2V,つぶあん,16000020.0,FRANK,11.0,507.0,#Y0R2C02R2,16000022.0
20241221T110615.000Z,15000018,heist,Kaboom Canyon,heist,ranked,,-2.0,defeat,78.0,#2PV8PR900,원재,16000082.0,BERRY,11.0,495.0,#Y0R2C02R2,16000022.0
20241221T105543.000Z,15000018,heist,Kaboom Canyon,heist,ranked,,-3.0,defeat,126.0,#8JVPRRP9P,경순이,16000083.0,CLANCY,10.0,480.0,#Y0R2C02R2,16000022.0
20241221T105306.000Z,15000431,duoShowdown,Dried Up River,duoShowdown,ranked,,-2.0,,,,,,,,,#Y0R2C02R2,16000007.0
20241221T104918.000Z,15000431,duoShowdown,Dried Up River,duoShowdown,ranked,,11.0,,,,,,,,,#Y0R2C02R2,16000007.0
20241221T104613.000Z,15000431,duoShowdown,Dried Up River,duoShowdown,ranked,,8.0,,,,,,,,,#Y0R2C02R2,16000007.0
20241221T104352.000Z,15000431,duoShowdown,Dried Up River,duoShowdown,ranked,,7.0,,,,,,,,,#Y0R2C02R2,16000007.0
20241219T045654.000Z,15000440,knockout,Flaring Phoenix,knockout,ranked,,-2.0,defeat,123.0,#GL8P8PLRL,람다,16000088.0,,11.0,722.0,#Y0R2C02R2,16000078.0
